experiment_id,scenario,strategy,robot_count,target_count,seed,timestamp_s,alloc_num,queued_tasks,footprint_bytes
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,165.0,28,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,170.0,29,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,175.0,30,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,30.0,1,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,35.0,2,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,40.0,3,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,45.0,4,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,50.0,5,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,55.0,6,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,60.0,7,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,65.0,8,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,70.0,9,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,75.0,10,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,80.0,11,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,85.0,12,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,90.0,13,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,95.0,14,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,100.0,15,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,105.0,16,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,110.0,17,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,115.0,18,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,120.0,19,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,125.0,20,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,130.0,21,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,135.0,22,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,140.0,23,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,145.0,24,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,150.0,25,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,155.0,26,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,160.0,27,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,165.0,28,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,30.0,1,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,35.0,2,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,40.0,3,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,45.0,4,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,50.0,5,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,55.0,6,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,60.0,7,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,65.0,8,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,70.0,9,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,75.0,10,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,80.0,11,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,85.0,12,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,90.0,13,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,95.0,14,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,100.0,15,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,105.0,16,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,110.0,17,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,115.0,18,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,120.0,19,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,125.0,20,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,130.0,21,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,135.0,22,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,140.0,23,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,145.0,24,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed04,deadline_pressure,ahe_mrta_v3,3,15,4,30.0,1,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed04,deadline_pressure,ahe_mrta_v3,3,15,4,35.0,2,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed04,deadline_pressure,ahe_mrta_v3,3,15,4,40.0,3,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed04,deadline_pressure,ahe_mrta_v3,3,15,4,45.0,4,6,48
